Cluster number;Age of head of household;Has a computer;Has air conditioner;Has animal-drawn cart;Has bank account;Has bicycle;Has boat with a motor;Has car/truck;Has electricity;Has mobile telephone;Has mosquito bed net for sleeping;Has motorcycle/scooter;Has radio;Has refrigerator;Has television;Main floor material;Main roof material;Main wall material;Number of de facto members;Number of household members;Number of mosquito bed nets;Number of rooms used for sleeping;Owns cattle;Owns chickens/poultry;Owns cows/ bulls;Owns goats;Owns horses/ donkeys/ mules;Owns land usable for agriculture;Sex of head of household;Source of drinking water;Type of cooking fuel;Type of place of residence;Type of toilet facility;Wealth index for urban/rural;Has solar panel;Has a generator;Has plows;Has a tractor;Has a tiller;Motorized seed drill;Age of household head;Are there ways to avoid getting malaria;Births in last five years;Daughters who have died;Education in single years;Educational attainment;Frequency of listening to radio;Frequency of reading newspaper or magazine;Frequency of using internet last month;Frequency of watching television;Highest educational level;Literacy;Owns a mobile telephone;Respondent slept under mosquito bed net;Sex of household head;Sons who have died;Time to get to water source;Total children ever born;Use of internet;Component1;Social Vulnerability;Social Vulnerability  Unweighted;geometry
11;59.36;0;0;0.72;0.08;0.2;0;0;0;0.92;1;0.48;0.64;0.04;0.16;1.64;1.8;1;12.4;12.6;6.68;3.68;0.6;13.32;4.64;8.68;1.6;1;1.08;2;8;2;1.96;2.24;0.56;0;0.6;0;0;0;65.98571429;1;1.014285714;0.4;0.985714286;0.357142857;1.014285714;0;0.328571429;0.628571429;0.285714286;0.1;0.3;0.942857143;1.057142857;0.457142857;10.71428571;3.771428571;0.185714286;-0.675700189;-0.283059288;-0.385105147;POINT (-10.4647392 14.22322576)
12;50.42307692;0;0;0.692307692;0.115384615;0.076923077;0;0.038461538;0.346153846;1;1;0.538461538;0.346153846;0;0.192307692;1.730769231;2.807692308;2;8.653846154;9;4.730769231;3.192307692;3.730769231;8.461538462;1.615384615;1.846153846;1.846153846;0.730769231;1.115384615;2.076923077;8;2;2.038461538;3.153846154;0.538461538;0;0.576923077;0;0;0;53.34042553;0.893617021;0.872340426;0.446808511;1.170212766;0.382978723;0.468085106;0.021276596;0.787234043;0.382978723;0.276595745;0.212765957;0.531914894;0.936170213;1.14893617;0.319148936;15.74468085;4.042553191;0.382978723;-1.447269603;-0.483242846;-1.00667798;POINT (-9.304511097 14.35585027)
13;60.30769231;0;0;0.884615385;0;0.230769231;0.038461538;0;0.269230769;0.961538462;0.923076923;0.615384615;0.692307692;0;0.346153846;1.5;2.115384615;2.538461538;17.15384615;17.19230769;5.269230769;5.884615385;3.307692308;7.5;2.692307692;0.807692308;2.192307692;0.961538462;1;2.923076923;7.961538462;2;2;2.538461538;0.653846154;0.038461538;0.807692308;0.038461538;0;0;59.38202247;0.696629213;0.730337079;0.337078652;0.471910112;0.157303371;0.640449438;0;0.314606742;0.471910112;0.134831461;0.04494382;0.438202247;0.561797753;1;0.550561798;10.58426966;4.359550562;0.235955056;-0.767847368;-0.291949249;-0.157112648;POINT (-9.47268694 14.64350451)
14;54.26923077;0.076923077;0;0.730769231;0.115384615;0.269230769;0;0.038461538;0.230769231;0.923076923;1;0.538461538;0.576923077;0.038461538;0.461538462;1.961538462;2.269230769;2.423076923;12.96153846;13.11538462;5.538461538;4.038461538;4.115384615;9.692307692;1.961538462;2.576923077;1.615384615;0.769230769;1.038461538;2.461538462;8.538461538;2;2;3.384615385;0.692307692;0.038461538;0.769230769;0;0;0.038461538;62.52380952;0.746031746;1.031746032;0.253968254;1.238095238;0.380952381;0.396825397;0.031746032;0.206349206;0.619047619;0.317460317;0.142857143;0.555555556;0.73015873;1.015873016;0.333333333;11.50793651;3.650793651;0.142857143;-0.875371898;-0.34745784;-0.89045359;POINT (-8.203660432 14.37336367)
15;43.48;0;0;0.08;0.28;0.16;0;0;0.08;1;0.96;0.8;0.72;0;0.52;2.2;2.84;1.32;7.72;8.08;3.2;3.2;0;3.68;1.68;1.84;0.04;0.44;1.08;2.08;7.96;2;2.08;4.08;0.76;0;0;0;0;0;45.55555556;1;1.166666667;0.388888889;2.972222222;1;1.361111111;0;0.222222222;1.444444444;0.722222222;0.444444444;0.583333333;0.75;1.027777778;0.25;11.38888889;3.722222222;0.166666667;-1.455565968;-0.666615733;-3.359106964;POINT (-11.1973866 12.96463975)
16;53.68181818;0;0;0.045454545;0.045454545;0.409090909;0;0;0;0.954545455;1;0.681818182;0.545454545;0;0.363636364;1.818181818;2.090909091;1.090909091;7.727272727;8.136363636;5.545454545;3.863636364;0.272727273;3.909090909;3.045454545;3.136363636;0.045454545;0.863636364;1.045454545;2.181818182;8;2;2.136363636;2.363636364;0.727272727;0;0.045454545;0;0;0;52.64516129;1;1.161290323;0.677419355;0.870967742;0.322580645;1.096774194;0;0.064516129;1.387096774;0.258064516;0.129032258;0.709677419;1;1.032258065;0.612903226;8.387096774;5.032258065;0.032258065;-0.41759026;-0.251707907;-1.051171499;POINT (-11.06473859 12.73350792)
17;51.91666667;0;0.041666667;0;0;0.166666667;0;0;0;0.958333333;0.916666667;0.666666667;0.5;0.083333333;0.291666667;1.5;1.583333333;1.125;5;5.375;2.458333333;2.458333333;0.125;6;2.625;3.208333333;0.083333333;0.833333333;1.083333333;2.291666667;7.958333333;2;2.5;2.083333333;0.833333333;0;0.041666667;0;0;0;49.79166667;0.958333333;0.666666667;0.375;0.833333333;0.291666667;0.416666667;0;0.125;1;0.25;0.041666667;0.666666667;0.625;1.041666667;0.541666667;11.20833333;4.041666667;0.208333333;-0.537206449;-0.320283206;-1.932402401;POINT (-11.14428475 12.30652673)
18;54.16;0;0;0.56;0.32;0.64;0;0;0.12;1;1;0.8;0.88;0.08;0.76;2.2;3;2.04;15.08;15.24;7.68;6.12;2.56;12.68;0.96;6.2;1.8;0.92;1.04;2.32;8.08;2;2;3.92;0.88;0.04;0.52;0;0.04;0.16;54.38356164;0.931506849;1.01369863;0.479452055;3.246575342;1.095890411;1.479452055;0.123287671;0.123287671;1.479452055;0.808219178;0.342465753;0.534246575;0.917808219;1.04109589;0.342465753;5.410958904;4.630136986;0.205479452;-1.519825223;-0.613601976;-2.36475438;POINT (-9.409571605 13.00847048)
19;52.53846154;0;0;0.653846154;0.153846154;0.461538462;0;0;0;0.923076923;0.961538462;0.730769231;0.615384615;0;0.384615385;1.461538462;2.846153846;1.692307692;18.5;18.76923077;7.461538462;7.307692308;2.5;15.92307692;4.692307692;6.269230769;1.192307692;0.961538462;1;2.269230769;7.961538462;2;2;2.5;0.730769231;0;0.807692308;0.076923077;0;0.346153846;61.49484536;0.969072165;1.278350515;0.536082474;1.432989691;0.484536082;0.917525773;0.020618557;0.072164948;1.288659794;0.371134021;0.226804124;0.309278351;0.793814433;1;0.639175258;6.927835052;4.711340206;0.06185567;-0.65389514;-0.332904352;-0.821128874;POINT (-9.256070715 13.33917721)
20;54.19230769;0;0;0.384615385;0.115384615;0.346153846;0;0;0;1;1;0.807692308;0.807692308;0;0.384615385;1.076923077;1.230769231;1;12.11538462;12.57692308;5.307692308;4.5;1.730769231;14.76923077;7.615384615;4.538461538;0.807692308;1;1;2.115384615;8;2;2;1.423076923;0.884615385;0;0.615384615;0;0.038461538;0.230769231;57.66071429;0.982142857;1.375;0.446428571;0.732142857;0.214285714;1.482142857;0;0.035714286;1.017857143;0.178571429;0.089285714;0.375;0.875;1;0.482142857;5.857142857;4.982142857;0.017857143;-0.289731973;-0.210833965;-0.975030751;POINT (-9.680759435 12.57762715)
21;51.53846154;0;0;0.346153846;0.346153846;0.346153846;0;0;0.576923077;1;1;0.384615385;0.923076923;0.076923077;0.730769231;2.307692308;3;2.692307692;11.57692308;12.11538462;6.730769231;5.153846154;0.5;17.65384615;1.615384615;1.692307692;1.115384615;0.807692308;1.115384615;1.807692308;7.923076923;2;1.961538462;4.461538462;0.692307692;0;0.384615385;0;0;0.153846154;55.38095238;0.952380952;0.904761905;0.19047619;3.825396825;1.301587302;1.53968254;0.19047619;0.587301587;1.587301587;0.936507937;0.53968254;0.746031746;0.904761905;1.063492063;0.285714286;4.920634921;3.428571429;0.333333333;-2.531318864;-0.915824379;-3.182700018;POINT (-8.880624391 12.96183138)
22;56.96153846;0;0;0.923076923;0.115384615;0.576923077;0;0;0;1;1;0.5;0.5;0;0.346153846;1.307692308;2.846153846;1.192307692;11.15384615;11.30769231;6.346153846;4.423076923;0.730769231;15.84615385;0.884615385;4.961538462;2.346153846;0.923076923;1;2.307692308;8;2;2;1.961538462;0.769230769;0;0.884615385;0.038461538;0;0.038461538;56.4137931;0.948275862;0.896551724;0.344827586;0.568965517;0.155172414;0.827586207;0.034482759;0.275862069;1.051724138;0.137931034;0.068965517;0.465517241;0.896551724;1;0.465517241;60.60344828;4.327586207;0.189655172;-0.480278693;-0.219012928;-0.041595521;POINT (-9.711271107 14.2474474)
23;63.08;0;0;0.8;0.16;0.76;0;0;0;1;1;0.52;0.88;0;0.4;1.48;1.8;1.16;11.24;11.44;5.68;3.92;1.76;12.6;7.64;4.04;1.64;1;1.04;2.08;8;2;2.04;1.96;0.56;0;0.64;0;0;0.2;65.96491228;1;1.070175439;0.315789474;1.684210526;0.614035088;1.50877193;0;0.280701754;1.263157895;0.473684211;0.192982456;0.421052632;0.912280702;1;0.438596491;10.87719298;4.105263158;0.140350877;-0.890270296;-0.350997009;-0.741100519;POINT (-9.908415803 13.14242162)
24;48.03846154;0.192307692;0.076923077;0.153846154;0.461538462;0.230769231;0;0.076923077;0.961538462;1;1;0.846153846;0.846153846;0.461538462;0.884615385;3;3;3;10.88461538;11.46153846;6.961538462;5.769230769;0.307692308;8;3.038461538;0.961538462;0.192307692;0.192307692;1.038461538;1.346153846;7.538461538;1;2;2.730769231;0.076923077;0.076923077;0.115384615;0;0;0.038461538;50.50819672;0.983606557;0.770491803;0.098360656;6.540983607;1.950819672;1.295081967;0.278688525;1.131147541;1.573770492;1.31147541;1.049180328;0.819672131;0.918032787;1;0.163934426;0;2.540983607;0.590163934;-4.237981161;-1.611890887;-6.514891289;POINT (-9.479752642 13.04409713)
25;52.19230769;0;0.038461538;0.769230769;0;0;0;0;0.076923077;0.961538462;0.923076923;0.346153846;0.384615385;0;0.115384615;1.230769231;2.269230769;2.576923077;10.92307692;11.11538462;4.269230769;4;1.346153846;4.5;0.846153846;2.346153846;1.576923077;0.923076923;1.038461538;2.884615385;7.961538462;2;2;2.153846154;0.423076923;0;0.730769231;0.038461538;0.038461538;0;59.81632653;0.632653061;0.979591837;0.306122449;0.367346939;0.142857143;0.346938776;0;0.183673469;0.224489796;0.12244898;0.06122449;0.265306122;0.755102041;1.020408163;0.387755102;15.40816327;4.734693878;0.102040816;-0.402946463;-0.131264329;0.449912366;POINT (-9.982389776 15.11960728)
26;56.65384615;0;0;0.769230769;0.038461538;0.115384615;0;0;0.307692308;1;1;0.576923077;0.307692308;0.038461538;0.307692308;1.346153846;2.153846154;2.576923077;12.19230769;12.38461538;5.115384615;4.153846154;2;7.346153846;1.884615385;1.038461538;1.884615385;1;1;2.076923077;8;2;1.961538462;2.769230769;0.615384615;0;0.884615385;0;0;0.038461538;58.57894737;0.666666667;0.877192982;0.280701754;0.403508772;0.122807018;0.456140351;0;0.263157895;0.49122807;0.122807018;0;0.333333333;0.771929825;1;0.456140351;11.05263158;4.859649123;0.157894737;-0.662168581;-0.279466145;-0.736993973;POINT (-10.10727474 14.70008216)
27;58.96153846;0;0;0.807692308;0;0;0;0;0.153846154;1;0.923076923;0.576923077;0.5;0.153846154;0.153846154;2.153846154;2.769230769;2.461538462;15.42307692;15.84615385;7.538461538;4.884615385;4.115384615;2.884615385;1.153846154;2.576923077;1.576923077;0.961538462;1;1.807692308;7.961538462;1;2;1.038461538;0.538461538;0;0.807692308;0.038461538;0;0;57.91954023;0.609195402;0.781609195;0.103448276;0.873563218;0.275862069;0.402298851;0;1.091954023;0.16091954;0.229885057;0.091954023;0.747126437;0.816091954;1;0.068965517;6.091954023;3.034482759;0.517241379;-1.356109274;-0.516843863;-1.55679358;POINT (-10.72020711 15.12829525)
28;49.46153846;0;0;0.807692308;0.076923077;0.038461538;0;0;0.384615385;0.961538462;1;0.538461538;0.461538462;0.153846154;0.384615385;1.961538462;2.576923077;2.846153846;15;15.15384615;5.692307692;5.346153846;3.846153846;6.423076923;3.615384615;6.153846154;1.807692308;0.884615385;1.115384615;2.423076923;8;2;2.038461538;3.807692308;0.615384615;0;0.730769231;0;0;0;56.04545455;0.534090909;0.738636364;0.045454545;0.977272727;0.284090909;0.443181818;0.011363636;0.522727273;0.443181818;0.238636364;0.079545455;0.545454545;0.784090909;1.068181818;0.125;16.59090909;2.545454545;0.295454545;-1.157892952;-0.396013632;-0.811353059;POINT (-10.66366294 14.83409011)
29;46.34615385;0;0;0.538461538;0.076923077;0.192307692;0;0.038461538;0.692307692;1;0.923076923;0.5;0.692307692;0.230769231;0.384615385;2.038461538;2.653846154;2.615384615;8.461538462;8.5;3.730769231;3.461538462;2.346153846;3.153846154;0.5;1.461538462;0.923076923;0.846153846;1.230769231;1.230769231;7.923076923;2;2;4.461538462;0.269230769;0;0.615384615;0;0;0;48.44444444;0.511111111;0.666666667;0.2;1.111111111;0.377777778;0.777777778;0;1.088888889;0.6;0.288888889;0.133333333;0.711111111;0.755555556;1.244444444;0.222222222;0.666666667;3.711111111;0.444444444;-1.89380535;-0.60085791;-1.850667439;POINT (-10.27415363 15.39776174)
30;59.5;0;0.041666667;0.958333333;0.166666667;0.208333333;0;0;0.666666667;1;0.916666667;0.916666667;0.75;0.666666667;0.708333333;2.083333333;3;2.791666667;21.16666667;21.41666667;8.458333333;7;7.791666667;4.375;4.958333333;1.041666667;2.916666667;1;1.041666667;1.125;8;2;2;4.791666667;0.708333333;0.041666667;0.875;0;0;0;64.08910891;0.623762376;0.465346535;0.277227723;1.772277228;0.524752475;0.623762376;0.03960396;1.584158416;0.801980198;0.425742574;0.287128713;0.831683168;0.603960396;1.01980198;0.287128713;0.495049505;3.683168317;0.683168317;-2.535632022;-0.892937681;-2.610405838;POINT (-10.80931037 15.0995605)
31;58.08;0;0;0.72;0.28;0.84;0;0;0.12;0.96;1;0.44;0.72;0.08;0.36;2.36;2.6;1.68;15.32;15.6;5.72;5.56;2.16;13.44;5.8;13.24;1.84;0.96;1;2.32;7.84;2;2;3.92;0.76;0.04;0.56;0;0;0.04;61.96341463;1;0.902439024;0.280487805;1.097560976;0.365853659;1.024390244;0.012195122;0.37804878;0.536585366;0.280487805;0.158536585;0.524390244;0.841463415;1;0.219512195;9.402439024;3.62195122;0.158536585;-0.826845355;-0.340741153;-0.709184157;POINT (-7.064866464 13.14820814)
32;57.28;0;0;0.88;0.24;0.72;0;0;0.16;0.96;1;0.56;0.64;0;0.36;2;2.76;1.48;12.56;13.08;5.6;4.48;2.2;21.76;5.8;12.6;2.08;1;1;2.64;8;2;2.36;2.88;0.72;0;0.64;0.04;0;0;60.51612903;0.983870968;0.903225806;0.403225806;1;0.35483871;0.661290323;0;0.112903226;0.322580645;0.258064516;0.096774194;0.387096774;0.935483871;1;0.370967742;12.38709677;4.225806452;0.048387097;-0.601438613;-0.229877396;0.243408503;POINT (-7.675199294 13.35856379)
33;50.12;0.04;0;0.2;0.56;0.12;0;0.16;0.92;1;0.96;0.44;0.64;0.28;0.8;2.84;3;2.36;6.32;6.4;2.84;2.72;0;8.48;0.2;0.08;0.24;0.12;1.12;1.44;7.64;1;2.28;2.08;0;0;0;0;0;0;50.75;1;0.45;0.075;6.525;2.125;0.875;0;1.175;1.35;1.425;0.9;0.85;0.775;1.15;0.1;4.4;2.3;0.5;-4.138420663;-1.393969304;-4.825037798;POINT (-7.531218594 12.88138361)
34;57.42307692;0;0.038461538;1;0.423076923;0.576923077;0;0.038461538;0.307692308;1;1;0.576923077;0.692307692;0;0.5;2.769230769;2.692307692;1.923076923;15.07692308;15.38461538;7.115384615;4.692307692;4.192307692;29.92307692;2.653846154;8.038461538;2.153846154;0.961538462;1;1.807692308;8;2;2.384615385;4.038461538;0.807692308;0.076923077;0.730769231;0.076923077;0;0.192307692;60.67948718;1;0.948717949;0.282051282;0.923076923;0.269230769;1.051282051;0;0.423076923;0.769230769;0.230769231;0.08974359;0.641025641;0.884615385;1;0.256410256;18.29487179;3.961538462;0.179487179;-0.932559513;-0.384462384;-0.833377656;POINT (-7.483129883 13.52116212)
35;53.48;0;0;0.92;0.4;0.8;0;0;0.28;1;1;0.6;0.84;0;0.28;2.76;2.24;1.88;12.12;12.28;5.52;5;3.08;18.56;3.52;12.48;1.68;1;1;2.08;7.96;2;2.24;3.28;0.92;0;0.56;0;0;0.24;56.38333333;1;1;0.35;1.166666667;0.366666667;0.783333333;0;0.183333333;0.45;0.283333333;0.183333333;0.533333333;0.95;1;0.3;18.71666667;4.016666667;0.083333333;-0.85595743;-0.344317858;-0.681660278;POINT (-7.726743892 13.67521963)
36;51.53846154;0;0;0.576923077;0;0.884615385;0;0;0;0.884615385;0.961538462;0.615384615;0.807692308;0;0.576923077;1.769230769;2.923076923;2.230769231;15.76923077;15.80769231;6;4.961538462;2.423076923;16.92307692;6.884615385;11.88461538;0.923076923;1;1;2.346153846;8.192307692;2;2;2.807692308;0.961538462;0;0.884615385;0;0.076923077;0.307692308;60.4556962;1;1.075949367;0.240506329;1.189873418;0.35443038;1.683544304;0.025316456;0.025316456;1.075949367;0.265822785;0.202531646;0.329113924;0.759493671;1;0.341772152;3.987341772;4.278481013;0.012658228;-0.469099241;-0.256533681;-1.109338836;POINT (-6.820034757 12.58765796)
37;54.73076923;0;0;0.769230769;0.115384615;0.884615385;0;0;0.038461538;0.884615385;0.961538462;0.769230769;0.884615385;0;0.346153846;1.692307692;2.846153846;2.269230769;18.53846154;18.69230769;6.461538462;8;8.807692308;18.19230769;10.73076923;11.30769231;1.769230769;0.923076923;1.115384615;2.307692308;8;2;2;2.730769231;0.923076923;0.153846154;0.884615385;0.076923077;0.038461538;0.653846154;61.23809524;1;0.752380952;0.20952381;1.980952381;0.638095238;1.647619048;0.019047619;0.028571429;1.019047619;0.428571429;0.371428571;0.447619048;0.666666667;1.019047619;0.361904762;9.342857143;3.371428571;0.028571429;-0.847462504;-0.393478538;-1.670988349;POINT (-6.846455599 12.32056853)
38;56.23076923;0.038461538;0;0.653846154;0.038461538;0.884615385;0;0.038461538;0;0.884615385;0.884615385;0.576923077;0.923076923;0;0.5;1.923076923;3;2.153846154;10.92307692;11.03846154;4.192307692;4.730769231;1.923076923;8.884615385;5.192307692;6.153846154;1.307692308;0.923076923;1;2.461538462;8;2;2;2.769230769;0.923076923;0;0.846153846;0.076923077;0.038461538;0.384615385;58.37096774;0.951612903;0.822580645;0.451612903;1.112903226;0.403225806;1.548387097;0.080645161;0;1.14516129;0.258064516;0.209677419;0.274193548;0.629032258;1;0.612903226;3.387096774;4.435483871;0.032258065;-0.486399083;-0.243254977;-0.57694463;POINT (-6.393588762 12.31096951)
39;54.59090909;0;0;0.545454545;0.045454545;0.909090909;0;0;0;0.954545455;0.954545455;0.636363636;0.909090909;0;0.545454545;1.727272727;3;2.090909091;10.18181818;10.27272727;4.409090909;5;0.727272727;5.954545455;2.590909091;7.727272727;1.409090909;0.863636364;1.045454545;2.181818182;8;2;2;3.045454545;0.818181818;0;0.681818182;0;0.045454545;0.045454545;57.24324324;1;0.972972973;0.972972973;1.432432432;0.486486486;1.567567568;0.027027027;0;1.108108108;0.324324324;0.243243243;0.351351351;0.810810811;1.027027027;0.567567568;7.135135135;5.324324324;0;-0.557530678;-0.287663801;-0.814418046;POINT (-7.048114692 12.81826731)
40;43.61538462;0.038461538;0;0.384615385;0.115384615;0.730769231;0;0;0;0.923076923;0.961538462;0.730769231;0.884615385;0;0.538461538;2.307692308;2.923076923;2.192307692;10;10.03846154;4.692307692;2.923076923;3.846153846;5.153846154;2.846153846;4.692307692;0.769230769;0.807692308;1.038461538;2.269230769;7.961538462;2;2;3.615384615;1;0;0.730769231;0.115384615;0.153846154;0.423076923;45.75510204;1;1.081632653;0.306122449;1.612244898;0.510204082;1.693877551;0.040816327;0.12244898;1.224489796;0.346938776;0.224489796;0.408163265;0.87755102;1.020408163;0.285714286;4;4.142857143;0.040816327;-0.662580797;-0.344446016;-1.934176057;POINT (-6.591809009 12.64116091)
